"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Atlanta, GA: Hartsfield-Jackson Atlanta International",98853,382001211,10397,"ATL","Atlanta, GA","GA",34,"large_airport",33.6366996765137,-84.4281005859375,"US","Atlanta","US-GA","KATL","ATL","NA",1026
"Chicago, IL: Chicago O'Hare International",105176,298094336,13930,"ORD","Chicago, IL","IL",41,"large_airport",41.97859955,-87.90480042,"US","Chicago","US-IL","KORD","ORD","NA",672
"Seattle, WA: Seattle/Tacoma International",72662,274761866,14747,"SEA","Seattle, WA","WA",93,"large_airport",47.4490013122559,-122.30899810791,"US","Seattle","US-WA","KSEA","SEA","NA",433
"Los Angeles, CA: Los Angeles International",68738,266824618,12892,"LAX","Los Angeles, CA","CA",91,"large_airport",33.94250107,-118.4079971,"US","Los Angeles","US-CA","KLAX","LAX","NA",125
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",58321,246218424,11298,"DFW","Dallas/Fort Worth, TX","TX",74,"large_airport",32.896800994873,-97.0380020141602,"US","Dallas-Fort Worth","US-TX","KDFW","DFW","NA",607
"Denver, CO: Denver International",74747,216298471,11292,"DEN","Denver, CO","CO",82,"large_airport",39.8616981506348,-104.672996520996,"US","Denver","US-CO","KDEN","DEN","NA",5431
"New York, NY: John F. Kennedy International",57205,202272880,12478,"JFK","New York, NY","NY",22,"large_airport",40.63980103,-73.77890015,"US","New York","US-NY","KJFK","JFK","NA",13
"Las Vegas, NV: McCarran International",43634,184537037,12889,"LAS","Las Vegas, NV","NV",85,"large_airport",36.08010101,-115.1520004,"US","Las Vegas","US-NV","KLAS","LAS","NA",2181
"Phoenix, AZ: Phoenix Sky Harbor International",49571,180065493,14107,"PHX","Phoenix, AZ","AZ",81,"large_airport",33.4342994689941,-112.012001037598,"US","Phoenix","US-AZ","KPHX","PHX","NA",1135
"Houston, TX: George Bush Intercontinental/Houston",67185,172646610,12266,"IAH","Houston, TX","TX",74,"large_airport",29.9843997955322,-95.3414001464844,"US","Houston","US-TX","KIAH","IAH","NA",97
"San Francisco, CA: San Francisco International",39633,165197110,14771,"SFO","San Francisco, CA","CA",91,"large_airport",37.6189994812012,-122.375,"US","San Francisco","US-CA","KSFO","SFO","NA",13
"Charlotte, NC: Charlotte Douglas International",62501,156023197,11057,"CLT","Charlotte, NC","NC",36,"large_airport",35.2140007019043,-80.9430999755859,"US","Charlotte","US-NC","KCLT","CLT","NA",748
"Newark, NJ: Newark Liberty International",61086,151097647,11618,"EWR","Newark, NJ","NJ",21,"large_airport",40.6925010681152,-74.168701171875,"US","Newark","US-NJ","KEWR","EWR","NA",18
"Orlando, FL: Orlando International",42388,150561453,13204,"MCO","Orlando, FL","FL",33,"large_airport",28.4293994903564,-81.3089981079102,"US","Orlando","US-FL","KMCO","MCO","NA",96
"Miami, FL: Miami International",66114,149638344,13303,"MIA","Miami, FL","FL",33,"large_airport",25.7931995391846,-80.2906036376953,"US","Miami","US-FL","KMIA","MIA","NA",8
"Minneapolis, MN: Minneapolis-St Paul International",67405,144895434,13487,"MSP","Minneapolis, MN","MN",63,"large_airport",44.8819999695,-93.2218017578,"US","Minneapolis","US-MN","KMSP","MSP","NA",841
"Detroit, MI: Detroit Metro Wayne County",64598,144689911,11433,"DTW","Detroit, MI","MI",43,"large_airport",42.2123985290527,-83.353401184082,"US","Detroit","US-MI","KDTW","DTW","NA",645
"Philadelphia, PA: Philadelphia International",62208,134688098,14100,"PHL","Philadelphia, PA","PA",23,"large_airport",39.871898651123,-75.241096496582,"US","Philadelphia","US-PA","KPHL","PHL","NA",36
"Boston, MA: Logan International",38029,119266312,10721,"BOS","Boston, MA","MA",13,"large_airport",42.36429977,-71.00520325,"US","Boston","US-MA","KBOS","BOS","NA",20
"New York, NY: LaGuardia",33074,108032690,12953,"LGA","New York, NY","NY",22,"large_airport",40.77719879,-73.87259674,"US","New York","US-NY","KLGA","LGA","NA",21
"Washington, DC: Washington Dulles International",43288,100746683,12264,"IAD","Washington, DC","VA",38,"large_airport",38.94449997,-77.45580292,"US","Washington","US-DC","KIAD","IAD","NA",312
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31745,96723531,11697,"FLL","Fort Lauderdale, FL","FL",33,"large_airport",26.0725994110107,-80.152702331543,"US","Fort Lauderdale","US-FL","KFLL","FLL","NA",9
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",29377,96347413,10821,"BWI","Baltimore, MD","MD",35,"large_airport",39.17539978,-76.66829681,"US","Baltimore","US-MD","KBWI","BWI","NA",146
"Salt Lake City, UT: Salt Lake City International",35796,89748507,14869,"SLC","Salt Lake City, UT","UT",87,"large_airport",40.7883987426758,-111.977996826172,"US","Salt Lake City","US-UT","KSLC","SLC","NA",4227
"Honolulu, HI: Honolulu International",16396,82740996,12173,"HNL","Honolulu, HI","HI",2,"large_airport",21.3187007904053,-157.921997070312,"US","Honolulu","US-HI","PHNL","HNL","NA",13
"Chicago, IL: Chicago Midway International",17303,81980809,13232,"MDW","Chicago, IL","IL",41,"large_airport",41.7859992980957,-87.7524032592773,"US","Chicago","US-IL","KMDW","MDW","NA",620
"Washington, DC: Ronald Reagan Washington National",29406,79006899,11278,"DCA","Washington, DC","VA",38,"large_airport",38.8521003723145,-77.0376968383789,"US","Washington","US-DC","KDCA","DCA","NA",15
"San Diego, CA: San Diego International",18085,77930423,14679,"SAN","San Diego, CA","CA",91,"large_airport",32.7336006164551,-117.190002441406,"US","San Diego","US-CA","KSAN","SAN","NA",17
"Austin, TX: Austin - Bergstrom International",31320,77887850,10423,"AUS","Austin, TX","TX",74,"closed",30.2987223546,-97.6997852325,"US","","US-TX","KAUS","","NA",""
"Tampa, FL: Tampa International",24491,77364334,15304,"TPA","Tampa, FL","FL",33,"large_airport",27.9755001068115,-82.533203125,"US","Tampa","US-FL","KTPA","TPA","NA",26
"Portland, OR: Portland International",23400,61364728,14057,"PDX","Portland, OR","OR",92,"large_airport",45.58869934,-122.5979996,"US","Portland","US-OR","KPDX","PDX","NA",31
"St. Louis, MO: Lambert-St. Louis International",27012,60500013,15016,"STL","St. Louis, MO","MO",64,"large_airport",38.7486991882324,-90.370002746582,"US","St Louis","US-MO","KSTL","STL","NA",618
"London, United Kingdom: Heathrow",7517,54704616,12972,"LHR","London, United Kingdom","",493,"large_airport",51.4706001282,-0.461941003799,"GB","London","GB-ENG","EGLL","","EU",83
"Cincinnati, OH: Cincinnati/Northern Kentucky International",39879,51719488,11193,"CVG","Cincinnati, OH","KY",52,"large_airport",39.0488014221,-84.6678009033,"US","Cincinnati","US-KY","KCVG","CVG","NA",896
"Oakland, CA: Metropolitan Oakland International",18558,51154863,13796,"OAK","Oakland, CA","CA",91,"large_airport",37.7212982177734,-122.221000671387,"US","Oakland","US-CA","KOAK","OAK","NA",9
"Kansas City, MO: Kansas City International",22423,48441759,13198,"MCI","Kansas City, MO","MO",64,"large_airport",39.2975997924805,-94.7138977050781,"US","Kansas City","US-MO","KMCI","MCI","NA",1026
"Nashville, TN: Nashville International",20698,43922218,10693,"BNA","Nashville, TN","TN",54,"large_airport",36.1245002746582,-86.6781997680664,"US","Nashville","US-TN","KBNA","BNA","NA",599
"Cleveland, OH: Cleveland-Hopkins International",29266,43698555,11042,"CLE","Cleveland, OH","OH",44,"large_airport",41.4117012024,-81.8498001099,"US","Cleveland","US-OH","KCLE","CLE","NA",791
"Houston, TX: William P Hobby",11669,43421751,12191,"HOU","Houston, TX","TX",74,"large_airport",29.64539909,-95.27890015,"US","Houston","US-TX","KHOU","HOU","NA",46
"Sacramento, CA: Sacramento International",11591,42627857,14893,"SMF","Sacramento, CA","CA",91,"large_airport",38.6954002380371,-121.591003417969,"US","Sacramento","US-CA","KSMF","SMF","NA",27
"Memphis, TN: Memphis International",59341,42124590,13244,"MEM","Memphis, TN","TN",54,"large_airport",35.0424003601074,-89.9766998291016,"US","Memphis","US-TN","KMEM","MEM","NA",341
"San Jose, CA: Norman Y. Mineta San Jose International",11987,41350645,14831,"SJC","San Jose, CA","CA",91,"large_airport",37.3625984191895,-121.929000854492,"US","San Jose","US-CA","KSJC","SJC","NA",62
"Raleigh/Durham, NC: Raleigh-Durham International",20739,40998446,14492,"RDU","Raleigh/Durham, NC","NC",36,"large_airport",35.8776016235352,-78.7874984741211,"US","Raleigh/Durham","US-NC","KRDU","RDU","NA",435
"San Juan, PR: Luis Munoz Marin International",15425,40446723,14843,"SJU","San Juan, PR","PR",3,"large_airport",18.4393997192,-66.0018005371,"PR","San Juan","PR-U-A","TJSJ","SJU","NA",9
"Santa Ana, CA: John Wayne Airport-Orange County",7112,39946127,14908,"SNA","Santa Ana, CA","CA",91,"large_airport",33.67570114,-117.8679962,"US","Santa Ana","US-CA","KSNA","SNA","NA",56
"Pittsburgh, PA: Pittsburgh International",24084,38734882,14122,"PIT","Pittsburgh, PA","PA",23,"large_airport",40.49150085,-80.23290253,"US","Pittsburgh","US-PA","KPIT","PIT","NA",1203
"Tokyo, Japan: Narita International",6888,38381978,13744,"NRT","Tokyo, Japan","",736,"large_airport",35.7647018432617,140.386001586914,"JP","Tokyo","JP-12","RJAA","","AS",141
"Toronto, Canada: Lester B. Pearson International",25373,38300337,16271,"YYZ","Toronto, Canada","ON",936,"large_airport",43.6772003174,-79.6305999756,"CA","Toronto","CA-ON","CYYZ","YYZ","NA",569
"Dallas, TX: Dallas Love Field",8053,36307145,11259,"DAL","Dallas, TX","TX",74,"large_airport",32.8470993041992,-96.8517990112305,"US","Dallas","US-TX","KDAL","DAL","NA",487
"San Antonio, TX: San Antonio International",16564,35924524,14683,"SAT","San Antonio, TX","TX",74,"large_airport",29.5337009429932,-98.4698028564453,"US","San Antonio","US-TX","KSAT","SAT","NA",809
"New Orleans, LA: Louis Armstrong New Orleans International",15734,35903040,13495,"MSY","New Orleans, LA","LA",72,"large_airport",29.9934005737305,-90.2580032348633,"US","New Orleans","US-LA","KMSY","MSY","NA",4
"Milwaukee, WI: General Mitchell International",20083,34918510,13342,"MKE","Milwaukee, WI","WI",45,"large_airport",42.9472007751465,-87.896598815918,"US","Milwaukee","US-WI","KMKE","MKE","NA",723
"Indianapolis, IN: Indianapolis International",30511,34286635,12339,"IND","Indianapolis, IN","IN",42,"large_airport",39.7173004150391,-86.2944030761719,"US","Indianapolis","US-IN","KIND","IND","NA",797
"Fort Myers, FL: Southwest Florida International",12605,33124549,14635,"RSW","Fort Myers, FL","FL",33,"large_airport",26.5361995697021,-81.7552032470703,"US","Fort Myers","US-FL","KRSW","RSW","NA",30
"Columbus, OH: Port Columbus International",16591,28933565,11066,"CMH","Columbus, OH","OH",44,"large_airport",39.9980010986328,-82.8918991088867,"US","Columbus","US-OH","KCMH","CMH","NA",815
"Albuquerque, NM: Albuquerque International Sunport",13090,28642256,10140,"ABQ","Albuquerque, NM","NM",86,"large_airport",35.0401992797852,-106.609001159668,"US","Albuquerque","US-NM","KABQ","ABQ","NA",5355
"Frankfurt, Germany: Frankfurt Main",6669,28447886,11760,"FRA","Frankfurt, Germany","",429,"large_airport",50.0264015198,8.54312992096,"DE","Frankfurt-am-Main","DE-HE","EDDF","","EU",364
"West Palm Beach/Palm Beach, FL: Palm Beach International",9634,27524051,14027,"PBI","West Palm Beach/Palm Beach, FL","FL",33,"large_airport",26.6832008361816,-80.0955963134766,"US","West Palm Beach","US-FL","KPBI","PBI","NA",19
"Paris, France: Paris Charles de Gaulle",5613,26560203,10920,"CDG","Paris, France","",427,"large_airport",49.0127983093,2.54999995232,"FR","Paris","FR-J","LFPG","","EU",392
"Hartford, CT: Bradley International",15309,26033621,10529,"BDL","Hartford, CT","CT",11,"large_airport",41.9388999939,-72.6831970215,"US","Hartford","US-CT","KBDL","BDL","NA",173
"Jacksonville, FL: Jacksonville International",12459,25563051,12451,"JAX","Jacksonville, FL","FL",33,"large_airport",30.4941005706787,-81.6878967285156,"US","Jacksonville","US-FL","KJAX","JAX","NA",30
"Kahului, HI: Kahului Airport",5971,24718546,13830,"OGG","Kahului, HI","HI",2,"medium_airport",20.8985996246338,-156.429992675781,"US","Kahului","US-HI","PHOG","OGG","NA",54
"Ontario, CA: Ontario International",13162,24619179,13891,"ONT","Ontario, CA","CA",91,"large_airport",34.0559997558594,-117.600997924805,"US","Ontario","US-CA","KONT","ONT","NA",944
"Cancun, Mexico: Cancun International",11267,23770874,11032,"CUN","Cancun, Mexico","",148,"large_airport",21.0365009308,-86.8770980835,"MX","Cancún","MX-ROO","MMUN","","NA",22
"Buffalo, NY: Buffalo Niagara International",12353,22861551,10792,"BUF","Buffalo, NY","NY",22,"large_airport",42.94049835,-78.73220062,"US","Buffalo","US-NY","KBUF","BUF","NA",728
"Burbank, CA: Bob Hope",7034,21923942,10800,"BUR","Burbank, CA","CA",91,"medium_airport",34.2006988525391,-118.359001159668,"US","Burbank","US-CA","KBUR","BUR","NA",778
"Anchorage, AK: Ted Stevens Anchorage International",45288,21438798,10299,"ANC","Anchorage, AK","AK",1,"large_airport",61.1744003295898,-149.996002197266,"US","Anchorage","US-AK","PANC","ANC","NA",152
"Mexico City, Mexico: Licenciado Benito Juarez International",10374,20774685,13252,"MEX","Mexico City, Mexico","",148,"large_airport",19.43630027771,-99.0720977783203,"MX","Mexico City","MX-DIF","MMMX","","NA",7316
"Amsterdam, Netherlands: Schiphol",5468,20164037,10292,"AMS","Amsterdam, Netherlands","",461,"large_airport",52.3086013794,4.76388978958,"NL","Amsterdam","NL-NH","EHAM","","EU",-11
"Providence, RI: Theodore Francis Green State",9497,19577041,14307,"PVD","Providence, RI","RI",15,"medium_airport",41.7326011657715,-71.4204025268555,"US","Providence","US-RI","KPVD","PVD","NA",55
"Hong Kong, Hong Kong: Hong Kong International",4632,19553468,12143,"HKG","Hong Kong, Hong Kong","",729,"large_airport",22.3089008331,113.915000916,"HK","Hong Kong","HK-U-A","VHHH","","AS",28
"Reno, NV: Reno/Tahoe International",8382,18961857,14570,"RNO","Reno, NV","NV",85,"large_airport",39.4990997314453,-119.767997741699,"US","Reno","US-NV","KRNO","RNO","NA",4415
"Vancouver, Canada: Vancouver International",8961,18760038,16229,"YVR","Vancouver, Canada","BC",906,"large_airport",49.193901062,-123.183998108,"CA","Vancouver","CA-BC","CYVR","","NA",14
"Omaha, NE: Eppley Airfield",10908,18550713,13871,"OMA","Omaha, NE","NE",65,"medium_airport",41.3031997680664,-95.8940963745117,"US","Omaha","US-NE","KOMA","OMA","NA",984
"Tucson, AZ: Tucson International",7146,16955023,15376,"TUS","Tucson, AZ","AZ",81,"large_airport",32.1161003112793,-110.94100189209,"US","Tucson","US-AZ","KTUS","TUS","NA",2643
"Oklahoma City, OK: Will Rogers World",10937,16524725,13851,"OKC","Oklahoma City, OK","OK",73,"large_airport",35.3931007385254,-97.600700378418,"US","Oklahoma City","US-OK","KOKC","OKC","NA",1295
"Seoul, South Korea: Incheon International",5039,16100772,12277,"ICN","Seoul, South Korea","",778,"large_airport",37.4691009521484,126.450996398926,"KR","Seoul","KR-28","RKSI","","AS",23
"Munich, Germany: Munich Airport",3886,15844854,13518,"MUC","Munich, Germany","",429,"large_airport",48.3538017272949,11.7861003875732,"DE","Munich","DE-BY","EDDM","","EU",1487
"Louisville, KY: Louisville International-Standiford Field",32095,15707981,14730,"SDF","Louisville, KY","KY",52,"large_airport",38.1744003295898,-85.7360000610352,"US","Louisville","US-KY","KSDF","SDF","NA",501
"El Paso, TX: El Paso International",9561,15706571,11540,"ELP","El Paso, TX","TX",74,"medium_airport",31.80719948,-106.3779984,"US","El Paso","US-TX","KELP","ELP","NA",3959
"Norfolk, VA: Norfolk International",10021,15564199,13931,"ORF","Norfolk, VA","VA",38,"large_airport",36.8945999145508,-76.2012023925781,"US","Norfolk","US-VA","KORF","ORF","NA",26
"Birmingham, AL: Birmingham-Shuttlesworth International",8681,14472292,10599,"BHM","Birmingham, AL","AL",51,"large_airport",33.56290054,-86.75350189,"US","Birmingham","US-AL","KBHM","BHM","NA",650
"Richmond, VA: Richmond International",10638,14430422,14524,"RIC","Richmond, VA","VA",38,"large_airport",37.505199432373,-77.3197021484375,"US","Richmond","US-VA","KRIC","RIC","NA",167
"Manchester, NH: Manchester-Boston Regional",7123,14279107,13296,"MHT","Manchester, NH","NH",14,"large_airport",42.9325981140137,-71.4356994628906,"US","Manchester","US-NH","KMHT","MHT","NA",266
"Spokane, WA: Spokane International",8303,13771376,11884,"GEG","Spokane, WA","WA",93,"large_airport",47.6198997497559,-117.533996582031,"US","Spokane","US-WA","KGEG","GEG","NA",2376
"Boise, ID: Boise Air Terminal",7628,13764155,10713,"BOI","Boise, ID","ID",83,"large_airport",43.56439972,-116.2229996,"US","Boise","US-ID","KBOI","BOI","NA",2871
"Tulsa, OK: Tulsa International",8501,13557988,15370,"TUL","Tulsa, OK","OK",73,"large_airport",36.1983985900879,-95.8880996704102,"US","Tulsa","US-OK","KTUL","TUL","NA",677
"Guam, TT: Guam International",5671,13413916,12016,"GUM","Guam, TT","TT",5,"large_airport",13.4834003448,144.796005249,"GU","Hagåtña, Guam International Airport","GU-U-A","PGUM","GUM","OC",298
"Montreal, Canada: Pierre Elliott Trudeau International",9221,13404990,16217,"YUL","Montreal, Canada","QC",941,"large_airport",45.4706001282,-73.7407989502,"CA","Montréal","CA-QC","CYUL","YUL","NA",118
"Long Beach, CA: Long Beach Airport",3209,12720463,12954,"LGB","Long Beach, CA","CA",91,"medium_airport",33.81769943,-118.1520004,"US","Long Beach","US-CA","KLGB","LGB","NA",60
"Kona, HI: Kona International Airport at Keahole",3679,12415894,12758,"KOA","Kona, HI","HI",2,"medium_airport",19.7388000488281,-156.046005249023,"US","Kailua/Kona","US-HI","PHKO","KOA","NA",47
"Albany, NY: Albany International",8429,11733982,10257,"ALB","Albany, NY","NY",22,"medium_airport",42.7482986450195,-73.8016967773438,"US","Albany","US-NY","KALB","ALB","NA",285
"Rochester, NY: Greater Rochester International",8174,11517406,14576,"ROC","Rochester, NY","NY",22,"large_airport",43.1189002990723,-77.6724014282227,"US","Rochester","US-NY","KROC","ROC","NA",559
"Dayton, OH: James M Cox/Dayton International",7568,11382472,11267,"DAY","Dayton, OH","OH",44,"large_airport",39.902400970459,-84.2193984985352,"US","Dayton","US-OH","KDAY","DAY","NA",1009
"Lima, Peru: Jorge Chavez International",4934,11249926,12986,"LIM","Lima, Peru","",368,"large_airport",-12.021900177,-77.1143035889,"PE","Lima","PE-LIM","SPIM","","SA",113
"Lihue, HI: Lihue Airport",2066,11157358,12982,"LIH","Lihue, HI","HI",2,"medium_airport",21.9759998321533,-159.339004516602,"US","Lihue","US-HI","PHLI","LIH","NA",153
"London, United Kingdom: Gatwick",2065,10841367,12966,"LGW","London, United Kingdom","",493,"large_airport",51.1481018066406,-0.190277993679047,"GB","London","GB-ENG","EGKK","","EU",202
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",7248,10770138,12992,"LIT","Little Rock, AR","AR",71,"large_airport",34.7294006347656,-92.2242965698242,"US","Little Rock","US-AR","KLIT","LIT","NA",262
"Calgary, Canada: Calgary International",6317,10660541,16257,"YYC","Calgary, Canada","AB",916,"large_airport",51.113899231,-114.019996643,"CA","Calgary","CA-AB","CYYC","","NA",3557
"Charleston, SC: Charleston AFB/International",7230,10095778,10994,"CHS","Charleston, SC","SC",37,"large_airport",32.89860153,-80.04049683,"US","Charleston","US-SC","KCHS","CHS","NA",46
"Sao Paulo, Brazil: Guarulhos Gov Andre Franco Montouro",1822,9880640,11988,"GRU","Sao Paulo, Brazil","",316,"large_airport",-23.4355564117432,-46.4730567932129,"BR","São Paulo","BR-SP","SBGR","","SA",2459
"Nassau, The Bahamas: Lynden Pindling International",5613,9680617,13605,"NAS","Nassau, The Bahamas","",204,"large_airport",25.0389995575,-77.4662017822,"BS","Nassau","BS-NP","MYNN","","NA",16
"Syracuse, NY: Syracuse Hancock International",8538,9430894,15096,"SYR","Syracuse, NY","NY",22,"large_airport",43.111198425293,-76.1063003540039,"US","Syracuse","US-NY","KSYR","SYR","NA",421
"Montego Bay, Jamaica: Sangster International",4963,9238929,13180,"MBJ","Montego Bay, Jamaica","",243,"medium_airport",18.5037002563477,-77.9133987426758,"JM","Montego Bay","JM-08","MKJS","","NA",4
"Guadalajara, Mexico: Miguel Hidalgo Y Costilla International",5956,9095131,11874,"GDL","Guadalajara, Mexico","",148,"large_airport",20.5217990875244,-103.310997009277,"MX","Guadalajara","MX-JAL","MMGL","","NA",5016
"Grand Rapids, MI: Gerald R. Ford International",8026,9033764,11986,"GRR","Grand Rapids, MI","MI",43,"medium_airport",42.88079834,-85.52279663,"US","Grand Rapids","US-MI","KGRR","GRR","NA",794
"Taipei, Taiwan: Taiwan Taoyuan International",2194,8952058,15306,"TPE","Taipei, Taiwan","",781,"large_airport",25.0776996612549,121.233001708984,"TW","Taipei","TW-TAO","RCTP","","AS",106
"Greensboro/High Point, NC: Piedmont Triad International",9050,8737154,11995,"GSO","Greensboro/High Point, NC","NC",36,"large_airport",36.0978012084961,-79.9373016357422,"US","Greensboro","US-NC","KGSO","GSO","NA",925
"Santo Domingo, Dominican Republic: Las Americas International",3305,8401645,14739,"SDQ","Santo Domingo, Dominican Republic","",224,"large_airport",18.4297008514404,-69.6688995361328,"DO","Santo Domingo","DO-01","MDSD","","NA",59
"Des Moines, IA: Des Moines International",8599,8318369,11423,"DSM","Des Moines, IA","IA",61,"large_airport",41.5340003967285,-93.6631011962891,"US","Des Moines","US-IA","KDSM","DSM","NA",958
"San Jose del Cabo, Mexico: Los Cabos International",4907,8255242,14832,"SJD","San Jose del Cabo, Mexico","",148,"large_airport",23.1518001556396,-109.721000671387,"MX","San José del Cabo","MX-BCS","MMSD","","NA",374
"Islip, NY: Long Island MacArthur",2488,8177655,12391,"ISP","Islip, NY","NY",22,"medium_airport",40.79520035,-73.10019684,"US","Islip","US-NY","KISP","ISP","NA",99
"Colorado Springs, CO: City of Colorado Springs Municipal",4383,8110892,11109,"COS","Colorado Springs, CO","CO",82,"large_airport",38.8058013916016,-104.700996398926,"US","Colorado Springs","US-CO","KCOS","COS","NA",6187
"Madrid, Spain: Barajas",2134,7965240,13156,"MAD","Madrid, Spain","",482,"large_airport",40.4936,-3.56676,"ES","Madrid","ES-M","LEMD","","EU",1998
"Santiago, Dominican Republic: Cibao International",2386,7964184,15013,"STI","Santiago, Dominican Republic","",224,"small_airport",19.4699001312256,-70.7005996704102,"DO","Santiago","DO-25","","","NA",602
"Savannah, GA: Savannah/Hilton Head International",5208,7737920,14685,"SAV","Savannah, GA","GA",34,"large_airport",32.12760162,-81.20210266,"US","Savannah","US-GA","KSAV","SAV","NA",50
"San Jose, Costa Rica: Juan Santamaria International",3444,7483186,14838,"SJO","San Jose, Costa Rica","",110,"medium_airport",9.99386024475098,-84.2088012695312,"CR","San Jose","CR-A","MROC","","NA",3021
"Knoxville, TN: McGhee Tyson",7610,7465710,15412,"TYS","Knoxville, TN","TN",54,"large_airport",35.81100082,-83.9940033,"US","Knoxville","US-TN","KTYS","TYS","NA",981
"Sanford, FL: Orlando Sanford International",5804,7432830,14761,"SFB","Sanford, FL","FL",33,"large_airport",28.7775993347168,-81.2375030517578,"US","Orlando","US-FL","KSFB","SFB","NA",55
"Rome, Italy: Fiumicino",1804,7393506,11651,"FCO","Rome, Italy","",450,"large_airport",41.8045005798,12.2508001328,"IT","Rome","IT-62","LIRF","","EU",15
"Portland, ME: Portland International Jetport",4890,7129072,14321,"PWM","Portland, ME","ME",12,"large_airport",43.64619827,-70.30930328,"US","Portland","US-ME","KPWM","PWM","NA",76
"White Plains, NY: Westchester County",5543,7078039,12197,"HPN","White Plains, NY","NY",22,"medium_airport",41.0670013427734,-73.7076034545898,"US","White Plains","US-NY","KHPN","HPN","NA",439
"Greer, SC: Greenville-Spartanburg International",6901,7034883,11996,"GSP","Greer, SC","SC",37,"large_airport",34.8956985474,-82.2189025879,"US","Greenville","US-SC","KGSP","GSP","NA",964
"Myrtle Beach, SC: Myrtle Beach International",5088,7004125,13577,"MYR","Myrtle Beach, SC","SC",37,"large_airport",33.6796989440918,-78.9282989501953,"US","Myrtle Beach","US-SC","KMYR","MYR","NA",25
"Manchester, United Kingdom: Manchester Airport",1867,6891565,13165,"MAN","Manchester, United Kingdom","",493,"large_airport",53.3536987304688,-2.27495002746582,"GB","Manchester","GB-ENG","EGCC","","EU",257
"Madison, WI: Dane County Regional-Truax Field",6425,6861963,13485,"MSN","Madison, WI","WI",45,"large_airport",43.1399002075195,-89.3375015258789,"US","Madison","US-WI","KMSN","MSN","NA",887
"Palm Springs, CA: Palm Springs International",3658,6843334,14262,"PSP","Palm Springs, CA","CA",91,"medium_airport",33.8297004699707,-116.50700378418,"US","Palm Springs","US-CA","KPSP","PSP","NA",477
"Akron, OH: Akron-Canton Regional",3349,6747248,10874,"CAK","Akron, OH","OH",44,"medium_airport",40.9160995483398,-81.4421997070312,"US","Akron","US-OH","KCAK","CAK","NA",1228
"Puerto Vallarta, Mexico: Licenciado Gustavo Diaz Ordaz International",4625,6743626,14312,"PVR","Puerto Vallarta, Mexico","",148,"large_airport",20.6800994873047,-105.253997802734,"MX","Puerto Vallarta","MX-JAL","MMPR","","NA",23
"Pensacola, FL: Pensacola Gulf Coast Regional",3344,6721097,14193,"PNS","Pensacola, FL","FL",33,"medium_airport",30.4734001159668,-87.1865997314453,"US","Pensacola","US-FL","KPNS","PNS","NA",121
"Sydney, Australia: Sydney International",1005,6560318,15092,"SYD","Sydney, Australia","",802,"large_airport",-33.9460983276367,151.177001953125,"AU","Sydney","AU-NSW","YSSY","","OC",21
"Wichita, KS: Wichita Mid-Continent",5223,6520765,12278,"ICT","Wichita, KS","KS",62,"large_airport",37.6498985290527,-97.4330978393555,"US","Wichita","US-KS","KICT","ICT","NA",1333
"Panama City, Panama: Tocumen International",3241,6422518,14286,"PTY","Panama City, Panama","",162,"large_airport",9.0713596344,-79.3834991455,"PA","Tocumen","PA-8","MPTO","","NA",135
"Zurich, Switzerland: Zurich Airport",1855,6312618,16321,"ZRH","Zurich, Switzerland","",486,"large_airport",47.4646987915039,8.54916954040527,"CH","Zurich","CH-ZH","LSZH","","EU",1416
"Osaka, Japan: Kansai International",2301,6214189,12699,"KIX","Osaka, Japan","",736,"large_airport",34.4272994995117,135.244003295898,"JP","Osaka","JP-27","RJBB","","AS",26
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",4145,6152001,12448,"JAN","Jackson/Vicksburg, MS","MS",53,"large_airport",32.3111991882,-90.0758972168,"US","Jackson","US-MS","KJAN","JAN","NA",346
"Dublin, Ireland: Dublin Airport",1292,6050466,11435,"DUB","Dublin, Ireland","",441,"large_airport",53.4212989807129,-6.27007007598877,"IE","Dublin","IE-D","EIDW","","EU",242
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",2958,6025083,14986,"SRQ","Sarasota/Bradenton, FL","FL",33,"large_airport",27.3953990936279,-82.5543975830078,"US","Sarasota/Bradenton","US-FL","KSRQ","SRQ","NA",30
"Punta Cana, Dominican Republic: Punta Cana International",4062,5880339,14293,"PUJ","Punta Cana, Dominican Republic","",224,"large_airport",18.5673999786,-68.3634033203,"DO","Punta Cana","DO-11","MDPC","","NA",47
"Burlington, VT: Burlington International",3709,5868373,10785,"BTV","Burlington, VT","VT",16,"medium_airport",44.4719009399,-73.1532974243,"US","Burlington","US-VT","KBTV","BTV","NA",335
"Tel Aviv, Israel: Ben Gurion",986,5837527,15258,"TLV","Tel Aviv, Israel","",636,"large_airport",32.0113983154297,34.8866996765137,"IL","Tel Aviv","IL-M","LLBG","","AS",135
